# FRECHET
# genspc	taxon	samples	   llmt	 median	   rrmt	entropy	          a1         mu1      theta1      kappa1         mu2      theta2      kappa2          a2         mu3      theta3      kappa3       rRMSE        AIC         BIC
aaosarxi	 F_As	 28843	     16	   58.1	    705	-1.8984	  7.4029e-01  3.4318e+01  1.8546e+01  3.2441e+00 -1.3702e+01  9.8465e+01  1.9833e+00  3.5785e-04  2.5213e+05  2.5219e+05
acancast	 O_Am	 89038	     16	   93.8	    458	-2.1683	  7.6046e-02  3.5614e+00  4.1047e+01  1.3162e+00  8.7713e+00  7.7232e+01  3.5296e+00  1.5060e-04  8.8896e+05  8.8902e+05
acanchlo	 M_Av	 114782	     29	  870.1	  37385	-3.6306	  1.0398e-01  5.9383e+01  3.8559e+01  1.3050e+00 -1.7669e+02  9.0049e+02  1.3907e+00  2.9335e-05  1.9190e+06  1.9191e+06
acanvite	 M_Ne	 80270	     16	  226.9	   2741	-2.8023	  3.6171e-01  4.2629e+01  7.4945e+01  1.2037e+00 -2.8608e+02  5.0520e+02  4.5334e+00  8.6348e-05  1.0357e+06  1.0358e+06
acidrich	 F_As	 18147	     17	   61.8	    603	-1.9576	  7.1367e-01  1.5558e+01  4.0463e+01  6.1663e+00 -5.7468e+01  1.4262e+02  2.6350e+00  3.3003e-04  1.6361e+05  1.6366e+05
acinjuba	 M_Mm	 158180	     30	 1529.1	 138721	-3.9492	  9.0473e-02  6.2395e+01  3.5279e+01  1.3672e+00 -2.9723e+02  5.7654e+02  3.7814e+00  1.0527e-01 -3.2946e+02  1.7805e+03  1.1651e+00  1.7308e-05  2.8853e+06  2.8854e+06
acrealca	 F_As	 26256	     23	   69.4	   1129	-2.1803	  4.8287e-01  1.6883e+01  2.7052e+01  1.2288e+00  1.2071e+01  5.6871e+01  3.8103e+00  3.4802e-04  2.6371e+05  2.6377e+05
acrestri	 F_As	 27220	     17	   60.1	    863	-1.8491	  8.6808e-01  3.2787e+01  2.2872e+01  3.2550e+00 -2.0330e+01  1.3279e+02  1.7179e+00  3.7348e-04  2.3174e+05  2.3180e+05
acrodigi	 M_Cn	 134071	     20	  587.5	  19778	-3.4311	  7.9165e-02 -8.9886e+01  1.8686e+02  8.8059e+00 -1.2296e+02  6.0395e+02  1.4916e+00  3.3356e-05  2.1199e+06  2.1199e+06
acroechi	 M_In	 76570	     31	  283.1	 155544	-3.2992	  2.6128e-01 -5.7902e+00  8.4716e+01  6.3710e+00  1.6879e+01  3.1264e+02  8.0394e-01  4.8838e-05  1.1630e+06  1.1630e+06
acyrpisu	 M_In	 179567	     16	  148.3	  32703	-3.0524	  5.1326e-01  3.8242e+01  3.1735e+01  2.2100e+00 -7.5424e+01  5.6351e+02  1.1623e+00  4.0707e-01 -4.6326e+02  2.6685e+03  1.6012e+00  4.6654e-05  2.5216e+06  2.5217e+06
acytsubg	 O_Am	 22585	     29	   76.3	    629	-1.9037	  8.5706e-01 -1.1490e+02  1.8526e+02  1.8888e+01 -1.1136e+01  1.1801e+02  1.9721e+00  3.7401e-04  1.9793e+05  1.9799e+05
aedeaegy	 M_In	 120276	     16	  152.6	  77625	-3.2920	  4.1175e-01 -6.1185e+00  6.7042e+01  1.3045e+01 -6.3324e+00  2.0797e+02  8.6289e-01  2.9412e-01 -7.8520e+03  1.6768e+04  2.7664e+00  5.6801e-05  1.8225e+06  1.8226e+06
agarbisp	 F_Ba	 53380	     16	   55.1	    619	-1.5893	  8.9163e-01 -5.9268e+00  5.8327e+01  1.2786e+01 -4.1136e+00  7.9546e+01  1.4830e+00  3.1141e-04  3.9063e+05  3.9070e+05
agarhyph	 F_Ba	 43348	     17	   56.0	    211	-1.4327	  9.4025e-01  4.7267e+00  4.9043e+01  1.1996e+01 -1.8026e+01  8.7451e+01  2.5314e+00  7.0074e-04  2.8578e+05  2.8584e+05
ailumela	 M_Mm	 190361	     17	 1394.9	 137100	-3.9238	  9.5511e-02  6.0232e+01  3.6152e+01  1.5196e+00 -2.9753e+02  5.7601e+02  3.5523e+00  1.3543e-01 -3.2374e+02  1.7825e+03  1.1582e+00  1.5847e-05  3.4476e+06  3.4477e+06
albucand	 O_St	 20137	     16	   56.3	   1179	-1.8179	  7.7290e-01 -9.4679e+01  1.4727e+02  3.0000e+01 -1.1427e+01  8.8562e+01  1.4643e+00  7.1662e-04  1.6827e+05  1.6833e+05
albulaib	 O_St	 20079	     17	   56.0	   3638	-1.7850	  8.8391e-01 -1.1698e+02  1.6935e+02  3.0000e+01 -3.5721e+01  2.4338e+02  1.1506e+00  6.9279e-04  1.6434e+05  1.6440e+05
allimiss	 M_Rp	 185851	     30	 1422.5	 212782	-3.9585	  1.1350e-01  6.5685e+01  5.4947e+01  8.2646e-01 -1.2342e+02  1.2366e+03  1.0100e+00  1.6176e-05  3.3841e+06  3.3842e+06
allisine	 M_Rp	 181237	     30	 1427.8	 196015	-3.9552	  1.0030e-01  6.6270e+01  5.3323e+01  8.5509e-01 -1.4071e+02  1.2404e+03  1.0285e+00  1.6154e-05  3.2977e+06  3.2977e+06
altealte	 F_As	 26981	     20	   55.4	    592	-1.8204	  7.6514e-01  3.4408e+01  1.6608e+01  3.4192e+00 -2.2039e+01  1.0812e+02  2.2114e+00  6.3647e-04  2.2618e+05  2.2624e+05
altebras	 F_As	 17748	     27	   58.2	    924	-2.1354	  5.0602e-01  3.3984e+01  1.6507e+01  4.1806e+00 -1.2493e+01  7.8726e+01  2.2669e+00  3.4846e-01 -3.6758e+02  5.9235e+02  4.6860e+00  4.6662e-04  1.7450e+05  1.7459e+05
amanmusc	 F_Ba	 60818	     16	   53.0	    449	-1.4783	  9.2645e-02  3.2478e+00  5.3873e+01  1.3678e+00 -6.5911e+01  1.1678e+02  3.0000e+01  3.2436e-04  4.1379e+05  4.1385e+05
