# FRECHET
# genspc	taxon	samples	   llmt	 median	   rrmt	entropy	          a1	    mu1	      theta1	  kappa1	rRMSE	    AIC	        BIC
aplycali	 M_Mo	 97032	     21	 1200.9	  42052	-3.7334	  1.0000e+00 -1.6119e+02  1.0852e+03  1.4466e+00  3.1329e-05  1.6697e+06  1.6698e+06
ascalumb	 M_Ne	 48858	     16	  706.9	   5520	-3.3376	  1.0000e+00 -7.1828e+02  1.2777e+03  3.3398e+00  7.4321e-05  7.5213e+05  7.5215e+05
ascasuum	 M_Ne	 104671	     16	  725.9	   6656	-3.3515	  1.0000e+00 -4.5279e+02  1.0340e+03  2.7470e+00  4.5087e-05  1.6162e+06  1.6162e+06
auralima	 O_St	 2888	     24	  196.2	  70696	-2.9447	  1.0000e+00 -1.6591e+01  1.6644e+02  1.3873e+00  6.7827e-04  3.9231e+04  3.9249e+04
babemicr	 O_Al	 1243	     23	   85.4	   2908	-2.5650	  1.0000e+00 -9.0472e+00  7.2823e+01  1.4351e+00  4.1463e-03  1.4639e+04  1.4654e+04
chlarein	 P_Ch	 133509	     19	  227.9	   1069	-2.6905	  1.0000e+00 -2.3045e+02  4.2130e+02  4.7027e+00  1.0902e-04  1.6534e+06  1.6534e+06
eimeacer	 O_Al	 26489	     22	  259.6	   1824	-2.8488	  1.0000e+00 -1.8742e+02  4.0344e+02  3.2961e+00  2.2283e-04  3.4752e+05  3.4755e+05
eimemiti	 O_Al	 18315	     21	  242.6	   3046	-2.8928	  1.0000e+00 -6.9962e+01  2.6512e+02  2.1491e+00  2.4545e-04  2.4400e+05  2.4403e+05
fragcyli	 O_St	 2971	     39	  164.4	    757	-2.4654	  1.0000e+00 -4.3140e+01  1.8967e+02  3.6788e+00  8.9814e-04  3.3760e+04  3.3778e+04
malaglob	 F_Ba	 2010	     19	   50.7	    675	-2.1060	  1.0000e+00  9.5183e+00  3.3889e+01  1.7783e+00  1.5971e-03  1.9509e+04  1.9526e+04
metsbicu	 F_As	 1471	     16	   98.6	   5208	-2.6665	  1.0000e+00 -1.3074e+00  7.5578e+01  1.2511e+00  2.3063e-03  1.8050e+04  1.8065e+04
nanngadi	 O_St	 16410	     41	  157.7	    695	-2.5381	  1.0000e+00 -2.3413e+02  3.6404e+02  5.6541e+00  4.1330e-04  1.9174e+05  1.9176e+05
nilaluge	 M_In	 33117	     16	 1674.9	  46933	-3.8705	  1.0000e+00 -4.1510e+02  1.6998e+03  1.5918e+00  5.7813e-05  5.9079e+05  5.9081e+05
paratetr	 O_Al	 74862	     16	   25.5	     38	-1.0519	  1.0000e+00 -1.5183e+01  3.9236e+01  1.7422e+01  1.0984e-02  3.5939e+05  3.5941e+05
pichmemb	 F_As	 1129	     20	  111.6	   3787	-2.6816	  1.0000e+00 -7.4000e+00  9.5560e+01  1.4385e+00  2.7833e-03  1.3947e+04  1.3962e+04
pichstip	 F_As	 2390	     16	   66.1	   2678	-2.4266	  1.0000e+00  2.7926e+00  4.6252e+01  1.3051e+00  4.7517e-03  2.6661e+04  2.6678e+04
toxocani	 M_Ne	 50928	     16	  725.5	   4408	-3.3082	  1.0000e+00 -1.0377e+03  1.6296e+03  4.3895e+00  8.1169e-05  7.7676e+05  7.7678e+05
